Date;Code;Close;Open;Low;High;Bid;Ask;WeightedAverage;Amount;Volume;NumberOfTrades
04.08.2020;+МосЭнерго;2,161;2,1785;2,1535;2,1825;2,161;2,1615;2,1625;10076000;21788653,5;708
04.08.2020;Авангрд-ао;750;730;730;770;735;750;745;433;322545;101
04.08.2020;АкБрс-Прсп;;;;;;;;0;0;0
04.08.2020;Акрон;5870;5912;5836;5934;5866;5870;5870;3441;20196256;740
04.08.2020;Аптеки36и6;13,422;13,42;13,392;13,596;13,422;13,424;13,482;162160;2186140,66;1390
04.08.2020;Арсагера;3,72;3,84;3,62;4,04;3,66;3,72;3,75;613000;2296820;332
04.08.2020;АстрЭнСб;0,7555;0,7565;0,751;0,7565;0,7555;0,756;0,7545;101000;76184,5;16
04.08.2020;АшинскийМЗ;4,305;4,405;4,23;4,425;4,27;4,315;4,3;1628800;7000542,5;917
04.08.2020;Аэрофлот;82,08;83,72;81,72;84,08;82,08;82,1;82,26;20185530;1660284410;34496
04.08.2020;БСП ао;43,38;42,86;42,67;43,39;43,32;43,38;43,08;724180;31194297;1943
04.08.2020;Белон ао;4,558;4,43;4,412;4,646;4,544;4,556;4,562;432300;1972340,6;474
04.08.2020;ВТБ ао;0,040385;0,0402;0,03985;0,040705;0,040385;0,0404;0,040235;43705150000;1758379096;38133
04.08.2020;ВХЗ-ао;57,25;55;53,8;59,9;57,2;57,25;57,45;60380;3467781,5;578
04.08.2020;Возрожд-ао;;;;;;;;0;0;0
04.08.2020;Возрожд-п;344;343,2;341;346,8;341,8;345,6;343,4;690;236856;22
04.08.2020;ВолгЭнСб;2,4;1,78;1,76;2,4;2,4;;2,185;7573000;16559700;2271
04.08.2020;ВолгЭнСб-п;1,65;1,19;1,19;1,65;1,65;;1,47;7666000;11284790;2179
04.08.2020;ГАЗПРОМ ао;183,31;184,05;182,17;184,68;183,3;183,31;183,11;32447880;5941694897,3;65805
04.08.2020;ГМКНорНик;20398;20070;19936;20414;20400;20404;20180;265632;5363394282;26371
04.08.2020;Газпрнефть;319,1;318,95;317;320,4;318,05;318,15;318,3;1037920;330346901;6033
04.08.2020;ДВМП ао;7,62;7,6;7,58;7,7;7,62;7,65;7,65;780300;5969393;427
04.08.2020;ДЭК ао;0,98;1,071;0,92;1,071;0,985;0,986;0,964;19681000;18967207;2194
04.08.2020;ДагСб ао;0,0921;0,0916;0,0905;0,0948;0,0921;0,0931;0,0931;13340000;1241633;253
04.08.2020;ИРКУТ-3;35,1;35,34;34,8;35,82;34,94;35,1;35,1;54300;1906116;144
04.08.2020;ИркЭнерго;11,68;11,72;11,6;11,72;11,68;11,7;11,68;14300;166882;60
04.08.2020;КАМАЗ;58,4;58,4;57,8;58,6;58,2;58,4;58,1;27490;1598164;383
04.08.2020;КЗМС ао;;;;;230;;;0;0;0
04.08.2020;КМЗ;491;486;484;491;490;491;486;281;136523,5;69
04.08.2020;КОКС ао;;;;;;;;0;0;0
04.08.2020;КСБ ао;0,638;0,648;0,618;0,648;0,624;0,64;0,624;309000;192930;61
04.08.2020;КСБ ап;0,2795;0,276;0,276;0,2795;0,273;0,2795;0,2765;70000;19355;3
04.08.2020;КалужскСК;14,65;11,87;11,85;14,79;14,65;14,68;13,49;3711100;50077444;4646
04.08.2020;КамчатЭ ао;0,2205;0,232;0,2155;0,237;0,217;0,2205;0,221;4500000;995350;122
04.08.2020;КамчатЭ ап;0,397;0,393;0,388;0,408;0,391;0,4;0,398;110000;43810;11
04.08.2020;КоршГОК ао;48600;48200;48200;48800;48600;49000;48600;4;194200;4
04.08.2020;КрасОкт-1п;274,5;274,5;274,5;274,5;274,5;276,5;274,5;40;10980;2
04.08.2020;КрасОкт-ао;383,5;385;383;391;383;385,5;387,5;590;228770;27
04.08.2020;КраснодКр2;105,4;105,39;105,39;105,4;101,06;105,5;105,4;337;355194,2;3
04.08.2020;Красэсб ао;7,12;6,95;6,91;7,12;7,12;7,15;6,98;53000;370050;29
04.08.2020;Красэсб ап;7,12;7,02;6,94;7,12;6,98;7,12;7,06;77000;543340;19
04.08.2020;Кубанэнр;68,8;67,6;67,3;68,8;68,6;68,9;68,1;570;38807;25
04.08.2020;ЛСР ао;775,6;747,6;747,6;779;774,6;775,6;763,6;215918;164846757,2;7131
04.08.2020;ЛУКОЙЛ;5038,5;5052,5;5002;5060;5037,5;5039,5;5022,5;781024;3922693263,5;26221
04.08.2020;Лензолото;18160;18400;17800;18500;18130;18290;18090;2002;36205300;1000
04.08.2020;Ленэнерг-п;149,5;149,9;149,05;150;149,5;149,6;149,55;117950;17638306,5;1490
04.08.2020;Ленэнерго;6,11;6,12;6,07;6,18;6,11;6,12;6,12;293800;1797981;247
04.08.2020;М.видео;476,7;446,5;445,9;480,3;475,2;476;462,9;875880;405620926;12543
04.08.2020;МГТС-4ап;1996;2002;1986;2004;1996;2000;2000;917;1833188;186
04.08.2020;МГТС-5ао;2345;2330;2330;2345;2330;2345;2340;94;220030;26
04.08.2020;МГор48-об;101,84;101,89;101,6;101,9;101,8;101,84;101,7;149;151526,5;22
04.08.2020;ММК;40,095;39,9;39,55;40,315;40,09;40,14;39,88;16275800;649331399;7789
04.08.2020;МРСК СЗ;0,0514;0,0517;0,0509;0,05195;0,0514;0,0516;0,05135;11460000;588178,5;133
04.08.2020;МРСК Ур;0,1548;0,1552;0,1542;0,1556;0,1546;0,155;0,1548;4800000;743222;74
04.08.2020;МРСК ЦП;0,2164;0,2145;0,2145;0,2177;0,2161;0,2169;0,2163;75180000;16263736;879
04.08.2020;МРСК Центр;0,3052;0,3012;0,2992;0,308;0,305;0,3052;0,3016;32421000;9833769,4;569
04.08.2020;МРСКВол;0,07405;0,0742;0,07305;0,07455;0,0741;0,0742;0,07395;86730000;6412015,5;457
04.08.2020;МРСКСиб;0,2445;0,238;0,2365;0,2445;0,2375;0,2395;0,238;1040000;247385;41
04.08.2020;МТС-ао;335,7;332,6;330,7;336;335,25;335,7;334,45;3982950;1331928709;17077
04.08.2020;Магнит ао;4658,5;4630;4600,5;4665;4658,5;4665;4629;276812;1281405198,5;10915
04.08.2020;Мегион-ао;373,5;364;364;373,5;364;373,5;365;110;40135;5
04.08.2020;Мегион-ап;324;320;318;324;318,5;325,5;320,5;30;9620;3
04.08.2020;Монолит-ип;;;;;;;;0;0;0
04.08.2020;МордЭнСб;0,352;0,351;0,351;0,352;0,35;0,352;0,352;210000;73840;7
04.08.2020;НКНХ ао;93,5;93,5;92,5;93,8;93,15;93,5;93,5;36970;3456655,5;435
04.08.2020;НКНХ ап;80;79,6;79,6;80,3;79,92;79,98;79,94;160350;12817515,2;1071
04.08.2020;НЛМК ао;149,1;145;144,52;149,62;149,1;149,24;147,58;9936960;1466503104,8;19013
04.08.2020;НМТП ао;9,25;9,225;9,225;9,3;9,245;9,25;9,26;4589700;42496176,5;2903
04.08.2020;Новатэк ао;1066,4;1069,8;1056;1069,8;1064,6;1066,4;1061,2;807380;856753166;13632
04.08.2020;ОГК-2 ао;0,764;0,768;0,751;0,7681;0,7646;0,7654;0,7613;109199000;83129752,6;3564
